sectionName,elapsedTime(ms),lineNumber,fileName,functionName
"Insertion Sort Test",10661.347359,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",22.224868,270,"./Code/main.cpp","BinarySearchTest"
"Insertion Sort Test",10439.963221,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",23.368322,270,"./Code/main.cpp","BinarySearchTest"
"Insertion Sort Test",10756.358295,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",25.020137,270,"./Code/main.cpp","BinarySearchTest"
"Insertion Sort Test",11126.665741,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",25.898164,270,"./Code/main.cpp","BinarySearchTest"
"Insertion Sort Test",11798.881298,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",26.923341,270,"./Code/main.cpp","BinarySearchTest"
"Insertion Sort Test",11229.491874,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",27.519822,270,"./Code/main.cpp","BinarySearchTest"
"Insertion Sort Test",11291.173273,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",22.306493,270,"./Code/main.cpp","BinarySearchTest"
"Insertion Sort Test",11103.716821,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",22.554494,270,"./Code/main.cpp","BinarySearchTest"
"Insertion Sort Test",11089.123322,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",22.629980,270,"./Code/main.cpp","BinarySearchTest"
"Insertion Sort Test",11190.379042,210,"./Code/main.cpp","InsertionSortTest"
"Binary Search Test",22.510654,270,"./Code/main.cpp","BinarySearchTest"
